설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
온누리중앙프라자약국,인천광역시,서구,인천광역시 서구 서곶로 837 (당하동),,37.5920673775,126.6730093019,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
옵티마강남약국,인천광역시,서구,"인천광역시 서구 청라에메랄드로 84, 딜라이트타워2 106호 (청라동)",,37.5326023689,126.6568369988,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
이도온누리약국,인천광역시,서구,"인천광역시 서구 중봉대로 587, 지하2층 (경서동, 홈플러스 청라점)",,37.5323738626,126.6487420076,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
이야기약국,인천광역시,서구,"인천광역시 서구 청라커낼로 252 (청라동, 청라 롯데캐슬)",,37.5302994074,126.6478344391,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
차약국,인천광역시,서구,"인천광역시 서구 가정로 369, 1층 일부 (신현동)",,37.5179574814,126.6725560779,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
참약국,인천광역시,서구,"인천광역시 서구 이음1로 383, 세중시그니쳐 101호 (원당동)",,37.5945766654,126.7168318747,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
청라미래약국,인천광역시,서구,"인천광역시 서구 중봉대로 602, 1층 (청라동)",,37.5334081248,126.6502626168,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
청라바른약국,인천광역시,서구,"인천광역시 서구 청라한내로161번길 3-5, 102호 (청라동)",,37.539162391,126.6278765347,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
청라비젼약국,인천광역시,서구,인천광역시 서구 중봉대로 594 (청라동),,37.5325671822,126.6502787626,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
청라온누리약국,인천광역시,서구,"인천광역시 서구 청라에메랄드로102번길 8, 108호 (청라동, 우성메디피아)",,37.5339796761,126.6568209579,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
청라유명약국,인천광역시,서구,"인천광역시 서구 청라라임로 65, 108호 (청라동, 라임타워)",,37.5334396762,126.6529865304,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
청라중앙약국,인천광역시,서구,"인천광역시 서구 중봉대로 588, 104호 (청라동, 청라센트럴프라자)",,37.5320476911,126.650256298,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
주덕약국,충청북도,충주시,충청북도 충주시 주덕읍 신양로 121,충청북도 충주시 주덕읍신양리162,36.97370316,127.8003843,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
중앙약국,충청북도,충주시,충청북도 충주시 성서8길 24(성서동),충청북도 충주시 성서동 267,36.97153427,127.9326051,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
중원당약국,충청북도,충주시,충청북도 충주시 주덕읍 주덕1길 2,충청북도 충주시 주덕읍 신양리172,36.97377182,127.79834,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
천일약국,충청북도,충주시,충청북도 충주시 탄금대로 8-1 (문화동),충청북도 충주시 문화동749,36.97351383,127.927392,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
충일약국,충청북도,충주시,충청북도 충주시 충인2길 11 (충의동),충청북도 충주시 충의동211,36.97392998,127.9301209,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
충주 솔약국,충청북도,충주시,충청북도 충주시 중심3길 6 (문화동),충청북도 충주시 문화동 602번지,36.973639,127.925763,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
충주건강약국,충청북도,충주시,충청북도 충주시 광명1길 4 (교현동),충청북도 충주시 교현동 619번지 9호,36.97863358,127.9292518,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
충주큰길약국,충청북도,충주시,충청북도 충주시 약막7길 44-11 (안림동),충청북도 충주시 안림동 134번지 29호,36.97892962,127.9694523,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
충주프라자약국,충청북도,충주시,충청북도 충주시  봉계1길  49 (칠금동),충청북도 충주시 칠금동 849번지,36.9815978,127.9143656,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
친절한푸른약국,충청북도,충주시,"충청북도 충주시 봉계1길 42 (봉방동, 덕영빌딩)",충청북도 충주시 봉방동 81번지 1호,36.98030054,127.9149623,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
큰사랑약국,충청북도,충주시,충청북도 충주시 신립로 74 (칠금동),충청북도 충주시 칠금동603,36.98655044,127.9220776,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
튼튼약국,충청북도,충주시,충청북도 충주시 계명대로 233 (연수동),충청북도 충주시 연수동1496,36.98277603,127.9406046,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
파티마약국,충청북도,충주시,충청북도 충주시 봉계1길 52 (칠금동),충청북도 충주시 칠금동852,36.981067,127.9156242,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
하나약국,충청북도,충주시,충청북도 충주시 탄금대로 138 (봉방동),충청북도 충주시 봉방동 81번지 5호,36.98000345,127.9153783,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
한마음약국,충청북도,충주시,충청북도 충주시 국원대로 179 (금릉동),충청북도 충주시 금능동864,36.98770762,127.9280303,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
행복약국,충청북도,충주시,충청북도 충주시 중앙로 101-10 (성내동),충청북도 충주시 성내동 91번지,36.97293226,127.9347604,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
행복한약국,충청북도,충주시,충청북도 충주시 봉계1길 60 (칠금동),충청북도 충주시 칠금동856,36.9815629,127.9159944,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
현대약국,충청북도,충주시,충청북도 충주시 예성로 392 (연수동),충청북도 충주시 연수동 665번지 3호,36.99119874,127.9343744,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
호암장수약국,충청북도,충주시,"충청북도 충주시 호암수청2로 15, 1층 104호 (호암동)",충청북도 충주시 호암동 1016,36.9566147,127.9238593,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
호암종로약국,충청북도,충주시,"충청북도 충주시 사천개1길 2, 청보테라스타워 1층 108,109호 (호암동)",충청북도 충주시 호암동 1205번지,36.95579245,127.9356281,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
호암천사약국,충청북도,충주시,"충청북도 충주시 호암수청1길 5, 1층 2호 (호암동)",충청북도 충주시 호암동 1036번지,36.95610026,127.9226358,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
365아라약국,인천광역시,서구,"인천광역시 서구 이음5로 30, 연세프라자9 106호 (원당동)",,37.5937880367,126.7109709039,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
365열린약국,인천광역시,서구,"인천광역시 서구 청라라임로 51, 105호 (청라동, 청라 에일린의뜰)",,37.532140394,126.6529099598,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
3층 조은약국,인천광역시,서구,인천광역시 서구 청라한내로72번길 23 (청라동),,37.532043269,126.6302880193,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
SK성모약국,인천광역시,서구,"인천광역시 서구 가정로 437, 301동 B117호 (가정동, 루원시티 SK Leaders VIEW)",,37.5219556542,126.6765081795,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
검단365약국,인천광역시,서구,"인천광역시 서구 완정로178번길 1, 검단빌딩 102호 (마전동)",,37.6027562608,126.6568315245,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
검단보령약국,인천광역시,서구,"인천광역시 서구 원당대로 1039, 태경타워 105,106호 (원당동)",,37.5938006879,126.7163601202,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
검단아라태평양약국,인천광역시,서구,"인천광역시 서구 이음대로 378, 로뎀타워 1층 109~111호 (원당동)",,37.5938566064,126.7126027869,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
검단종로약국,인천광역시,서구,"인천광역시 서구 이음5로 60, JS프라자 117, 118호 (원당동)",,37.5943541206,126.7146016123,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
금빛약국,인천광역시,서구,"인천광역시 서구 중봉대로586번길 9-4, 쓰리엠타워 113호 (청라동)",,37.5320947486,126.6509349034,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
대명약국,인천광역시,서구,"인천광역시 서구 청라라임로 71, 111호 (연희동, 진영메디피아)",,37.5339466874,126.6529014756,약국 내부,인천광역시 서구보건,032-718-0425,2025-07-11,3560000,인천광역시 서구
새충주약국,충청북도,충주시,충청북도 충주시 계명대로 23 (칠금동),충청북도 충주시 칠금동 838번지,36.98263594,127.9169256,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
서충주약국,충청북도,충주시,"충청북도 충주시 중앙탑면 원앙9길 18-2, 센텀빌딩 지1층",충청북도 충주시 중앙탑면 용전리 681번지,37.01685439,127.8256364,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
설약국,충청북도,충주시,충청북도 충주시 봉계1길 64 (칠금동),충청북도 충주시 칠금동 859번지,36.9819867,127.9163534,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
성모약국,충청북도,충주시,충청북도 충주시 중앙로 71 (충의동),충청북도 충주시 충의동366,36.97289427,127.931245,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
성인약국,충청북도,충주시,"충청북도 충주시 주공길 10, 1층 106호 (연수동, 연수주공아파트)",충청북도 충주시 연수동,36.9875416,127.9373993,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
성일약국,충청북도,충주시,충청북도 충주시 형설로 98 (용산동),충청북도 충주시 용산동 1617,36.96267954,127.9398,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
세원약국,충청북도,충주시,충청북도 충주시 연수상가3길 6 (연수동),충청북도 충주시 연수동 914,36.98791642,127.9306476,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
송강약국,충청북도,충주시,충청북도 충주시 산척면 천등박달로 135,충청북도 충주시 산척면 송강리1257-1,37.08039639,127.9561754,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
수사랑약국,충청북도,충주시,충청북도 충주시 번영대로 176 (연수동),충청북도 충주시 연수동 1385,36.98691962,127.9370516,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
수안보약국,충청북도,충주시,충청북도 충주시 수안보면 물탕2길 24,충청북도 충주시 수안보면 온천리 249번지 13호,36.84700936,127.9917829,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
수정약국,충청북도,충주시,"충청북도 충주시 연수동산로2길 1, 1층 (연수동)",충청북도 충주시 연수동 1615번지,36.98573138,127.939625,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
스타약국,충청북도,충주시,충청북도 충주시 남산로 73 (용산동),충청북도 충주시 용산동 1632번지,36.96183271,127.9403509,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
신양약국,충청북도,충주시,충청북도 충주시 주덕읍 신양로 120,충청북도 충주시 주덕읍 신양리 138번지 9호 주덕성모외과의원,36.97316242,127.8003632,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
신태평양약국,충청북도,충주시,충청북도 충주시 번영대로 121 (연수동),충청북도 충주시 연수동 920,36.98745718,127.931277,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
안재경약국,충청북도,충주시,충청북도 충주시 국원대로 184 (연수동),충청북도 충주시 연수동 881,36.98800535,127.9286029,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
엄정약국,충청북도,충주시,충청북도 충주시 엄정면 토끼미1길 29,충청북도 충주시 엄정면 용산리467,37.08648409,127.9146658,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
연세약국,충청북도,충주시,충청북도 충주시 남산로 103 (용산동),충청북도 충주시 용산동1673,36.9619695,127.9437423,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
연수우리동네약국,충청북도,충주시,"충청북도 충주시 갱고개로 219, 1층 (연수동)",충청북도 충주시 연수동 590-3,36.9905701,127.9385203,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
열린약국,충청북도,충주시,충청북도 충주시 계명대로 30 (칠금동),충청북도 충주시 칠금동867,36.98209572,127.9176338,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
온누리약국,충청북도,충주시,충청북도 충주시 중앙로 73 (충인동),충청북도 충주시 충인동 310번지,36.97284043,127.9316493,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
온누리임약국,충청북도,충주시,충청북도 충주시 탄금대로 2-1 (문화동),충청북도 충주시 문화동762,36.97320776,127.9279314,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
용산약국,충청북도,충주시,충청북도 충주시 거룡2길 77 (용산동),충청북도 충주시 용산동746,36.96468765,127.9368449,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
우리들온누리약국,충청북도,충주시,충청북도 충주시 계명대로 19 (칠금동),충청북도 충주시 칠금동836,36.9826357,127.9165886,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
으뜸약국,충청북도,충주시,충청북도 충주시 예성로 395 (연수동),충청북도 충주시 연수동 689번지,36.99155889,127.9337787,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
은성약국,충청북도,충주시,충청북도 충주시 천변로 169 (교현동),충청북도 충주시 교현2동 614-3,36.97675785,127.9270744,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
의림약국,충청북도,충주시,충청북도 충주시 앙성면 가곡로 1034 (하나의원),충청북도 충주시 앙성면 용포리 91번지 29호,37.10758193,127.7536128,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
이수약국,충청북도,충주시,충청북도 충주시 국원대로 187 (금릉동),충청북도 충주시 금릉동 861,36.9882532,127.9281019,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
장수약국,충청북도,충주시,충청북도 충주시 만리산로 22 (교현동),충청북도 충주시 교현1동143-6,36.9743961,127.9425765,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
장춘당약국,충청북도,충주시,충청북도 충주시 중앙로 59 (충의동),충청북도 충주시 충의동302,36.97309184,127.930043,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
정다운약국,충청북도,충주시,충청북도 충주시 중앙로 80 (성서동),충청북도 충주시 성서동 228번지,36.97221892,127.9321778,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
주덕늘푸름약국,충청북도,충주시,충청북도 충주시 주덕읍 신양로 126-1,충청북도 충주시 주덕읍 신양리 141번지 2호,36.97353306,127.8010586,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
망우본동주민센터,서울특별시,중랑구,서울특별시 중랑구 망우로67길 10,서울특별시 중랑구 망우동 340-17,37.60055921,127.1014833,망우본동주민센터,서울특별시 중랑구청,02-2094-1957,2024-11-25,3060000,서울특별시 중랑구
동구노인요양원,울산광역시,동구,울산광역시 동구 방어진순환도로 1271,울산광역시 동구 서부동 615,35.5324134389,129.4144231928,1층 입구,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
동구장애인복지관,울산광역시,동구,울산광역시 동구 방어진순환도로 1273-1,울산광역시 동구 서부동 산106-13,35.5319333600,129.4140903000,1층 입구,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
큰골다함께돌봄센터,울산광역시,동구,울산광역시 동구 남목10길 22,울산광역시 동구 서부동 407-1,35.5427237639,129.4244963498,큰골경로당 2층(남목초등학교 근처),울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
동구노인복지관,울산광역시,동구,울산광역시 동구 명덕6길 33,울산광역시 동구 서부동 113-190,35.5246173200,129.4314639000,남목2동행정복지센터 건물,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
꽃바위다함께돌봄센터,울산광역시,동구,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.4870581300,129.4112633000,꽃바위문화관 1층,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
동구지역자활센터,울산광역시,동구,울산광역시 동구 상진1길 21,울산광역시 동구 방어동 258-7,35.4831340672,129.4219792603,"1층, 상진경로당 뒷건물",울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
사랑울타리,울산광역시,동구,울산광역시 동구 화잠8길 10,울산광역시 동구 방어동 982-1,35.4834447324,129.4096950491,"문현고등학교 옆, 꽃바위현대아파트 103동 앞",울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
방어진노인복지관,울산광역시,동구,울산광역시 동구 꽃바위로 356,울산광역시 동구 방어동 125-1,35.4877556561,129.4260212817,1층,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
다흰주간보호센터,울산광역시,동구,"울산광역시 동구 녹수길 25, 1층",울산광역시 동구 전하동 544-60,35.5132936300,129.4295402000,1층 입구,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
동구전하노인복지관,울산광역시,동구,울산광역시 동구 진성12길 120,울산광역시 동구 전하동 635-5,35.5106160169,129.4274906765,1층,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
우리동구장애인자립생활센터,울산광역시,동구,울산광역시 동구 진성1길 3,울산광역시 동구 전하동 626-3,35.5116745768,129.4296415089,1층 입구,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
동구종합사회복지관,울산광역시,동구,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.5050697141,129.4164300358,1층 로비,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
동구청소년문화의집,울산광역시,동구,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.5050697141,129.4164300358,3층,울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
밝은미소재가실버케어,울산광역시,동구,울산광역시 동구 방어진순환도로 594,울산광역시 동구 화정동 645-7,35.4946791602,129.4274512898,"3층, 봉평메밀 옆",울산광역시 방어진노,052-700-4135,2024-08-07,3710000,울산광역시 동구
동구보건소,울산광역시,동구,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.5050697141,129.4164300358,1층,울산광역시 동구보건,052-209-4094,2024-08-07,3710000,울산광역시 동구
남목2동행정복지센터,울산광역시,동구,울산광역시 동구 명덕6길 33,울산광역시 동구 서부동 113-190,35.5246173200,129.4314639000,1층,울산광역시 남목2동,052-209-4390,2024-08-07,3710000,울산광역시 동구
명보약국,충청북도,충주시,충청북도 충주시 대소원면 대학로 2,충청북도 충주시 대소원면 만정리 195번지 10호,36.96300411,127.8710717,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
명생약국,충청북도,충주시,충청북도 충주시 예성로 177 (충인동),충청북도 충주시 충인동 391번지,36.97279646,127.9336037,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
모자연약국,충청북도,충주시,충청북도 충주시 중앙탑면 중앙탑길 145,충청북도 충주시 중앙탑면 탑평리 27-3 중앙탑우체국,37.0209125,127.8624448,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
목행약국,충청북도,충주시,충청북도 충주시 행정13길 5 (목행동),충청북도 충주시 목행동597-5,37.01452842,127.917251,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
미래수약국,충청북도,충주시,"충청북도 충주시 계명대로 253, 1층 (연수동)",충청북도 충주시 연수동 1634번지 1호,36.98285819,127.9428062,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
미약국,충청북도,충주시,충청북도 충주시 계명대로 229 (연수동),충청북도 충주시 연수동 1492번지,36.98275775,127.9400766,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
민들레약국,충청북도,충주시,충청북도 충주시 번영대로 239 (연수동),충청북도 충주시 연수동 1337번지,36.9874278,127.9442857,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
바른약국,충청북도,충주시,충청북도 충주시 계명대로 22 (칠금동),충청북도 충주시 칠금동 862번지,36.98215825,127.916825,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
보건약국,충청북도,충주시,충청북도 충주시 충인5길 13-1 (충인동),충청북도 충주시 충인동 224번지,36.97392271,127.9332208,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
보경약국,충청북도,충주시,충청북도 충주시 중앙로 49 (문화동),충청북도 충주시 문화동801,36.97306411,127.9288525,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
봄사랑약국,충청북도,충주시,충청북도 충주시 사직로 234 (성남동),충청북도 충주시 성남동 187,36.9691215,127.9370098,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
북문약국,충청북도,충주시,충청북도 충주시 중앙로 17 (문화동),충청북도 충주시 문화동599,36.97298082,127.9252248,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
비타민약국,충청북도,충주시,"충청북도 충주시 사직로 281, 1층 (안림동)",충청북도 충주시 안림동 1129번지 3호,36.96899791,127.9421873,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
새봄약국,충청북도,충주시,충청북도 충주시 광명2길 4 (교현동),충청북도 충주시 교현동 618번지 6호,36.97845303,127.9287128,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
새아람약국,충청북도,충주시,충청북도 충주시 봉계1길 62 (칠금동),충청북도 충주시 칠금동 858번지,36.98185142,127.9162075,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
충주시보건소,충청북도,충주시,충청북도 충주시 사직산21길 34 충주시보건소,충청북도 충주시 문화동 1655,36.97090081,127.9280121,보건소 내 1층,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
주덕보건지소,충청북도,충주시,충청북도 충주시 신덕로 1359 주덕보건지소,충청북도 충주시 주덕읍 신양리 202,36.97555041,127.794977,보건지소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
대소원보건지소,충청북도,충주시,충청북도 충주시 대소원면 대소원1길 29,충청북도 충주시 대소원면 대소리 241,36.97797466,127.8172778,보건지소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
중앙탑보건지소,충청북도,충주시,충청북도 충주시 중앙탑면 중앙탑길 247,충청북도 충주시 탑평리 180-5,37.02880971,127.8573279,보건지소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
신니보건지소,충청북도,충주시,충청북도 충주시 신니면 안용원로 7,충청북도 충주시 용원리 35-1,36.99543222,127.7363343,보건지소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
소태보건지소,충청북도,충주시,충청북도 충주시 소태면 쟁골1길 1,충청북도 충주시 오량리 179-2,37.11002825,127.847962,보건지소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
산척보건지소,충청북도,충주시,충청북도 충주시 산척면 동산로 736,충청북도 충주시 송강리 1253-1,37.08170294,127.9558372,보건지소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
문산보건진료소,충청북도,충주시,충청북도 충주시 살미면 문산길 29,충청북도 충주시 문강리 405-6,36.8920941,127.9479324,보건진료소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
공이보건진료소,충청북도,충주시,충청북도 충주시 살미면 공이동길 508-22,충청북도 충주시 공이리 449-14,36.88203277,128.0361142,보건진료소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
침산3동 행정복지센터,대구광역시,북구,대구광역시 북구 성북로 55 (침산동),,35.89199775,128.5892559,행정복지센터 내,대구광역시 북구,053-665-3486,2025-07-23,3450000,대구광역시 북구
노원동 행정복지센터,대구광역시,북구,대구광역시 북구 노원로10길 166 (노원동2가),,35.8901469,128.5762257,행정복지센터 내,대구광역시 북구,053-665-3505,2025-07-23,3450000,대구광역시 북구
산격1동 행정복지센터,대구광역시,북구,대구광역시 북구 연암로36길 6 (산격동),,35.90037155,128.5968793,행정복지센터 내,대구광역시 북구,053-665-3557,2025-07-23,3450000,대구광역시 북구
산격2동 행정복지센터,대구광역시,북구,대구광역시 북구 동북로31길 30 (산격동),,35.90174977,128.6092688,행정복지센터 내,대구광역시 북구,053-665-3566,2025-07-23,3450000,대구광역시 북구
산격3동 행정복지센터,대구광역시,북구,대구광역시 북구 대학로15길 16 (산격동),,35.89347548,128.6086991,행정복지센터 내,대구광역시 북구,053-665-3589,2025-07-23,3450000,대구광역시 북구
산격4동 행정복지센터,대구광역시,북구,대구광역시 북구 대구체육관로 48 (산격동),,35.89224262,128.6043067,행정복지센터 내,대구광역시 북구,053-665-3604,2025-07-23,3450000,대구광역시 북구
복현1동 행정복지센터,대구광역시,북구,대구광역시 북구 동북로52길 7 (복현동),,35.89377478,128.6185932,행정복지센터 내,대구광역시 북구,053-665-3624,2025-07-23,3450000,대구광역시 북구
복현2동 행정복지센터,대구광역시,북구,대구광역시 북구 복현로8길 16-5 (복현동),,35.89536271,128.6254897,행정복지센터 내,대구광역시 북구,053-665-3647,2025-07-23,3450000,대구광역시 북구
대현동 행정복지센터,대구광역시,북구,대구광역시 북구 대현남로 25 (대현동),,35.88219079,128.6058241,행정복지센터 내,대구광역시 북구,053-665-3686,2025-07-23,3450000,대구광역시 북구
검단동 행정복지센터,대구광역시,북구,대구광역시 북구 검단로41길 12 (검단동),,35.91346481,128.6272275,행정복지센터 내,대구광역시 북구,053-665-3712,2025-07-23,3450000,대구광역시 북구
무태조야동 행정복지센터,대구광역시,북구,대구광역시 북구 호국로43길 20 (서변동),,35.92135364,128.5970467,행정복지센터 내,대구광역시 북구,053-665-3724,2025-07-23,3450000,대구광역시 북구
조야분소,대구광역시,북구,대구광역시 북구 조야로 37 (조야동),,35.91051449,128.576387,분소,대구광역시 북구,053-665-3157,2025-07-23,3450000,대구광역시 북구
연경분소,대구광역시,북구,대구광역시 북구 연경중앙로 5 (연경동),,35.94327291,128.617999,분소,대구광역시 북구,053-665-3981,2025-07-23,3450000,대구광역시 북구
