시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
특산물전통시장,상설장+5일장,충청남도 태안군 태안읍 시장4길 18,충청남도 태안군 태안읍 동문리 286 일원,매일,36.7513010,126.2984693858,136,"요식업, 잡화","온누리, 태안사랑상품권",없음,Y,Y,1918,041-675-8524,2019-06-18,4620000,충청남도 태안군
서부시장,상설장+5일장,충청남도 태안군 태안읍 시장2길 32-7,충청남도 태안군 태안읍 남문리 164,매일,36.7529270,126.2968099,182,수산물,"온누리, 태안사랑상품권",없음,Y,N,1975,041-672-2151,2019-06-18,4620000,충청남도 태안군
통진시장,상설장,경기도 김포시 통진읍 서암로84번길 1,경기도 김포시 통진읍 서암리 730-3,매일,37.6924031388,126.5993151,77,식재료 등,온누리상품권,,N,N,2012,031-980-2769,2020-09-10,4090000,경기도 김포시
양곡시장,상설장,경기도 김포시 양촌읍 양곡로 537,경기도 김포시 양촌읍 양곡리 414-3,매일,37.654818,126.623703,76,식재료 등,온누리상품권,,N,N,2013,031-980-2769,2020-09-10,4090000,경기도 김포시
양곡오라니장터시장,상설장,경기도 김포시 양촌읍 양곡1로56번길 13,경기도 김포시 양촌읍 양곡리 423,매일,37.6561611480,126.6237054005,77,식재료 등,온누리상품권,,N,N,2016,031-980-2769,2020-09-10,4090000,경기도 김포시
금촌전통시장,상설장,경기도 파주시 금정24길 18-6(금촌동),경기도 파주시 금촌동 64-19,매일,37.762599,126.773886,96,"농축수산물, 반찬, 공산품",온누리상품권,,Y,Y,1942,031-946-0013,2019-02-26,4060000,경기도 파주시
문산자유시장,상설장,경기도 파주시 문산읍 문향로 57,경기도 파주시 문산읍 문산리 10-23,매일,37.8569889,126.7841888,145,"농축수산물, 반찬, 공산품",온누리상품권,,Y,Y,1964,031-952-3233,2019-02-26,4060000,경기도 파주시
광탄시장,상설장,경기도 파주시 광탄면 혜음로 1120번길 22,경기도 파주시 광탄면 신산리 221-8,매일,37.782166,126.8484730,169,"농산물, 반찬, 공산품",온누리상품권,,Y,Y,1956,,2019-02-26,4060000,경기도 파주시
적성전통시장,상설장,경기도 파주시 적성면 칠중2길 19,경기도 파주시 적성면 구읍리 649-14,매일,37.9554549,126.918612,82,"농산물, 음식점, 공산품",온누리상품권,,N,N,1958,031-958-8662,2019-02-26,4060000,경기도 파주시
금촌문화로시장,상설장,경기도 파주시 문화로 94(금촌동),경기도 파주시 금촌동 55-4,매일,37.7625985,126.775133,133,"의류, 음식점, 공산품",온누리상품권,,N,Y,1958,031-942-5656,2019-02-26,4060000,경기도 파주시
금촌명동로시장,상설장,경기도 파주시 명동길 56(금촌동),경기도 파주시 금촌동 321-19,매일,37.7630739,126.7735887,62,"의류, 음식점, 공산품",온누리상품권,,N,Y,1960,031-942-5656,2019-02-26,4060000,경기도 파주시
봉일천시장,상설장,경기도 파주시 조리읍 봉천로 37-13,경기도 파주시 봉일천리 166-19,매일,37.7432033,126.8072915,131,"의류, 음식점, 공산품",온누리상품권,,N,Y,2017,,2019-02-26,4060000,경기도 파주시
속초중앙전통시장,상설장,강원도 속초시 수복로 191 (금호동),강원도 속초시 금호동 488-408,매일,38.20475131,128.5873483,350,농산물 생필품 수산물 잡화 등,온누리상품권,http://sokchomarket.com,Y,Y,2006,033-635-8433,2020-05-29,4230000,강원도 속초시
속초종합중앙시장,상설장,강원도 속초시 중앙로147번길 16 (중앙동),강원도 속초시 중앙동 471-4,매일,38.20452183,128.5901534,400,농산물 생필품 수산물 잡화 등,온누리상품권,http://sokchomarket.com,Y,Y,1990,033-633-3501,2020-05-29,4230000,강원도 속초시
다인,5일장,경상북도 의성군 다인면 다인장길 21-4,경상북도 의성군 다인면 서릉리 167-1,2일+7일,36.45035579,128.3557412,31,"농수축산물,잡화류 등",,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,N,1965,054-830-6233,2020-06-30,5150000,경상북도 의성군
신평,5일장,경상북도 의성군 신평면 봉호로 2400-7,경상북도 의성군 신평면 교안리 312-6,5일+10일,36.47035825,128.5061583,7,"농수축산물,잡화류 등",,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,N,1970,054-830-6233,2020-06-30,5150000,경상북도 의성군
안평,5일장,,경상북도 의성군 안평면 박곡리 952-3,3일+8일,36.37545455,128.5798952,5,"마늘,고추.잡화류 등",,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,N,1922,054-830-6233,2020-06-30,5150000,경상북도 의성군
염매,상설장,경상북도 의성군 의성읍 염매시장길 11,경상북도 의성군 의성읍 후죽리 628-10,매일,36.35027504,128.695902,36,"농수축산물,음식,잡화 등",온누리상품권,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,Y,1980,054-830-6233,2020-06-30,5150000,경상북도 의성군
김포중앙시장,상설장,경기도 김포시 북변중로 55,경기도 김포시 북변동 382-11,매일,37.6261050478,126.710509,124,식재료 등,온누리상품권,,N,N,2005,031-980-2769,2020-09-10,4090000,경기도 김포시
흥덕전통시장,5일장,전라북도 고창군 흥덕면 흥덕시장길 3,전라북도 고창군 흥덕면 흥덕리239-1,"4일,+9일",35.52058954,126.7002283,10,"건어물, 생선 등",온누리 상품권,,Y,Y,1965,,2020-11-05,4780000,전라북도 고창군
해리전통시장,5일장,전라북도 고창군 해리면 남시길 5,전라북도 고창군 해리면 하련리 170,"4일,+9일",35.45933217,126.5415058,30,"건어물, 생선 등",온누리 상품권,,Y,N,1965,,2020-11-05,4780000,전라북도 고창군
대산전통시장,5일장,전라북도 고창군 대산면 공음대산로 935,전라북도 고창군 대산면 매산리 200-13,"2일,+7일",35.34010874,126.5989796,22,"건어물, 생선 등",온누리 상품권,,Y,Y,1967,,2020-11-05,4780000,전라북도 고창군
상하전통시장,5일장,전라북도 고창군 상하면 명동1길 3,전라북도 고창군 상하면 하장리936-4,"1일,+6일",35.44422672,126.4912177,22,"건어물, 생선 등",온누리 상품권,,Y,Y,1974,,2020-11-05,4780000,전라북도 고창군
신철원전통시장,5일장,강원도 철원군 갈말읍 삼부연로18번길 16-2,강원도 철원군 갈말읍 신철원리 697,3일8일,38.144755,127.3100254,51,농축산물 의류 식당 잡화 등,온누리상품권,,Y,Y,1980,033-452-2255,2020-11-23,4300000,강원도 철원군
와수전통시장,5일장,강원도 철원군 서면 와수로 184번길 6-3,강원도 철원군 서면 와수리 1171-21,1일6일,38.23946579,127.439413,54,오대쌀 순대국 꿩냉면 삼지구엽초 떡 등,온누리상품권,,Y,Y,1978,033-458-9688,2020-11-23,4300000,강원도 철원군
동송전통시장,5일장,강원도 철원군 동송읍 이평로47번길 17,강원도 철원군 동송읍 이평리 678-48,5일10일,38.2089859,127.2192647,175,농축수산물 의류 잡화 그릇 식당 등,온누리상품권,,Y,Y,2007,033-455-6262,2020-11-23,4300000,강원도 철원군
동송전통시장,5일장,강원도 철원군 동송읍 이평로47번길 16,강원도 철원군 동송읍 이평리 680-1,5일10일,38.20880978,127.218876,33,농축수산물 식당 잡화 등,온누리상품권,,Y,Y,1981,033-455-2230,2020-11-23,4300000,강원도 철원군
고창전통시장,상설장+5일장,전라북도 고창군 고창읍 동리로 62-11,전라북도 고창군 고창읍 읍내리 367,"매일,+3일,+8일",35.43266509,126.6987705,72,"수산물, 의류 등",온누리 상품권,http://gochangmarket.com,Y,Y,1965,063-564-3097,2020-11-05,4780000,전라북도 고창군
무장전통시장,5일장,전라북도 고창군 무장면 왕제산로 725,전라북도 고창군 무장면 무장리 85-1,"5일,+10일",35.41442786,126.5606051,29,"건어물, 생선 등",온누리 상품권,,Y,Y,1965,,2020-11-05,4780000,전라북도 고창군
의성,5일장,경상북도 의성군 의성읍 전통시장2길 11-9,경상북도 의성군 의성읍 도동리 966,2일+7일,36.346247,128.6991566,117,"마늘,고추,잡화류 등",온누리상품권,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,Y,1946,054-830-6233,2020-06-30,5150000,경상북도 의성군
단촌,5일장,경상북도 의성군 단촌면 장터길 15,경상북도 의성군 단촌면 하화리 1097-9,5일+10일,36.422545,128.673903,4,"고추,마늘 등",,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,N,1947,054-830-6233,2020-06-30,5150000,경상북도 의성군
옥산,5일장,,경상북도 의성군 옥산면 입암리 1105-85,3일+8일,36.40119872,128.8024126,5,농수산물류 등,,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,N,1958,054-830-6233,2020-06-30,5150000,경상북도 의성군
금성,5일장,경상북도 의성군 금성면 탑리1길 39,경상북도 의성군 금성면 산운리 644-2,1일+6일,36.25298306,128.6845492,52,"마늘,고추,과일류 등",온누리상품권,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,Y,1961,054-830-6233,2020-06-30,5150000,경상북도 의성군
봉양,5일장,경상북도 의성군 봉양면 도리원 6길 4,경상북도 의성군 봉양면 화전리 95-4,4일+9일,36.29956469,128.5814145,37,"농수축산물,잡화류 등",온누리상품권,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,N,1921,054-830-6233,2020-06-30,5150000,경상북도 의성군
안계,5일장,경상북도 의성군 안계면 안계시장길 14-11,경상북도 의성군 안계면 용기리 467-1,1일+6일,36.38442411,128.4383471,100,"농수축산물,잡화류 등",온누리상품권,https://www.usc.go.kr/tour/sights/detail.tc?/mn=385&idx=189&protocol=http,Y,Y,1957,054-830-6233,2020-06-30,5150000,경상북도 의성군
삼구시장,상설장,서울특별시 영등포구 영등포로 219,서울특별시 영등포구 영등포동5가 20-99,매일,37.520144,126.9057495,59,의류/신발+음식점업+기타소매업+근린생활서비스,,,Y,N,1987,02-2634-0536,2022-07-06,B553077,소상공인시장진흥공단
영신상가,상설장,서울특별시 영등포구 영등포로 225,서울특별시 영등포구 영등포동5가 18-99,매일,37.51992006,126.906655,99,의류/신발,,,Y,N,1987,02-2634-0602,2022-07-06,B553077,소상공인시장진흥공단
영일시장,상설장,서울특별시 영등포구 문래로30길 27,서울특별시 영등포구 문래동3가 10,매일,37.516135,126.900719,120,농산물+축산물+수산물+가공식품,,,Y,Y,1970,02-2679-6832,2022-07-06,B553077,소상공인시장진흥공단
영진시장(A동),상설장,서울특별시 영등포구 신풍로 87,서울특별시 영등포구 신길동 2365,매일,37.500371,126.9159498,57,농산물+축산물+가공식품+의류/신발+음식점업,,,Y,N,1999,,2022-07-06,B553077,소상공인시장진흥공단
만리시장,상설장,서울특별시 용산구 효창원로 270,서울특별시 용산구 서계동 260-1,매일,37.551333,126.963696,33,농산물+축산물+수산물+가공식품+의류/신발,,,Y,N,1968,,2022-07-06,B553077,소상공인시장진흥공단
보광시장,상설장,서울특별시 용산구 보광로 30,서울특별시 용산구 보광동 260-8,매일,37.527196,127.000289,27,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,1975,,2022-07-06,B553077,소상공인시장진흥공단
신흥시장,상설장,서울특별시 용산구 신흥로 95-9,서울특별시 용산구 용산동2가 1-480,매일,37.545324,126.985086,65,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,N,2019,02-754-7389,2022-07-06,B553077,소상공인시장진흥공단
용산용문시장,상설장,서울특별시 용산구 효창원로40길 13,서울특별시 용산구 용문동 41-44,매일,37.536623,126.959796,155,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2016,02-3275-0883,2022-07-06,B553077,소상공인시장진흥공단
이촌종합시장,상설장,서울특별시 용산구 이촌로75길 16-9,서울특별시 용산구 이촌동 301-154,매일,37.520739,126.974784,100,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2011,02-795-5846,2022-07-06,B553077,소상공인시장진흥공단
이태원시장,상설장,서울특별시 용산구 이태원로14길 6,서울특별시 용산구 이태원동 56-9,매일,37.533818,126.990048,105,의류/신발+가정용품,,,Y,N,1960,,2022-07-06,B553077,소상공인시장진흥공단
후암시장,상설장,서울특별시 용산구 한강대로104길 77,서울특별시 용산구 후암동 103-9,매일,37.550381,126.976634,48,농산물+축산물+수산물+가정용품+기타소매업,,,Y,Y,2013,02-754-5114,2022-07-06,B553077,소상공인시장진흥공단
대림골목시장,상설장,서울특별시 은평구 응암로12길 8,서울특별시 은평구 응암동 602-23,매일,37.587914,126.917508,76,농산물+축산물+수산물+가공식품+기타소매업,,,Y,N,2011,02-6053-3545,2022-07-06,B553077,소상공인시장진흥공단
대림시장,상설장,서울특별시 은평구 응암로4길 20,서울특별시 은평구 응암동 754-1,매일,37.586537,126.917578,65,의류/신발+음식점업+기타소매업+근린생활서비스,,,Y,Y,1979,02-302-1666,2022-07-06,B553077,소상공인시장진흥공단
대조시장,상설장,서울특별시 은평구 불광로 8,서울특별시 은평구 대조동 14-64,매일,37.609321,126.9275999715,105,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2011,02-382-5599,2022-07-06,B553077,소상공인시장진흥공단
신응암시장,상설장,서울특별시 은평구 응암로22길 3-1,서울특별시 은평구 응암동 427-130,매일,37.593908,126.918694,52,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,2011,,2022-07-06,B553077,소상공인시장진흥공단
연서시장,상설장,서울특별시 은평구 연서로 247,서울특별시 은평구 불광동 488-13,매일,37.619691,126.922172,91,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,1975,02-355-1272,2022-07-06,B553077,소상공인시장진흥공단
제일시장,상설장,서울특별시 은평구 통일로 731,서울특별시 은평구 대조동 14-3,매일,37.610623,126.929466,55,농산물+가공식품+의류/신발+가정용품+음식점업,,,Y,N,1970,02-352-1993,2022-07-06,B553077,소상공인시장진흥공단
증산종합시장,상설장,서울특별시 은평구 증산로3길 12,서울특별시 은평구 증산동 184-9,매일,37.581469,126.905062,114,농산물+축산물+가공식품+음식점업+기타소매업,,,Y,Y,1978,02-373-5990,2022-07-06,B553077,소상공인시장진흥공단
광장시장,상설장,서울특별시 종로구 창경궁로 88,서울특별시 종로구 종로4가 165-2,매일,37.570113,126.999707,300,수산물+가공식품+의류/신발+기타소매업,,,Y,Y,1964,,2022-07-06,B553077,소상공인시장진흥공단
동대문종합시장,상설장,서울특별시 종로구 종로 266,서울특별시 종로구 종로6가 298-2,매일,37.570706,127.007329,4300,의류/신발+근린생활서비스업,,,Y,Y,1979,,2022-07-06,B553077,소상공인시장진흥공단
동대문종합시장D동상가,상설장,서울특별시 종로구 종로 266,서울특별시 종로구 종로6가 298-2,매일,37.570706,127.007329,1050,근린생활서비스,,,Y,N,2004,02-2279-8751,2022-07-06,B553077,소상공인시장진흥공단
동문시장㈜,상설장,서울특별시 종로구 종로44길 14,서울특별시 종로구 창신동 447-17,매일,37.570511,127.011128,320,가정용품,,,Y,N,1987,02-764-4766,2022-07-06,B553077,소상공인시장진흥공단
신설종합시장,상설장,서울특별시 종로구 난계로27길 51,서울특별시 종로구 숭인동 206-9,매일,37.57266959,127.020345,156,근린생활서비스업,,,Y,N,1971,,2022-07-06,B553077,소상공인시장진흥공단
종로신진시장,상설장,서울특별시 종로구 종로38길 16,서울특별시 종로구 종로5가 225-21,매일,37.570228,127.004946,104,의류/신발+가정용품+음식점업+기타소매업,,,Y,N,2005,02-2272-6001,2022-07-06,B553077,소상공인시장진흥공단
통인시장,상설장,서울특별시 종로구 자하문로15길 18,서울특별시 종로구 통인동 10-3,매일,37.580767,126.969948,85,농산물+축산물+수산물+가공식품+기타소매업,,https://tonginmarket.modoo.at/,Y,N,2005,02-722-0911,2022-07-06,B553077,소상공인시장진흥공단
한일상가,상설장,서울특별시 종로구 청계천로 229,서울특별시 종로구 종로5가 314-7,매일,37.570134,127.003025,228,의류/신발+근린생활서비스,,,Y,Y,2007,02-2266-3242,2022-07-06,B553077,소상공인시장진흥공단
동대문종합시장 신관(동대문쇼핑타운),상설장,서울특별시 종로구 종로 272,서울특별시 종로구 종로6가 289-57,매일,37.570819,127.008091,400,의류/신발+근린생활서비스업,,,Y,Y,2003,,2022-07-06,B553077,소상공인시장진흥공단
남부종합시장,상설장,서울특별시 서초구 방배중앙로27길 17,서울특별시 서초구 방배동 767-1,매일,37.494992,126.984806,134,가공식품+기타소매업+근린생활서비스,,,Y,Y,1981,02-599-6735,2022-07-06,B553077,소상공인시장진흥공단
양재시장,상설장,서울특별시 서초구 남부순환로356길 15,서울특별시 서초구 양재동 8-1,매일,37.484311,127.037966,31,의류/신발+기타소매업,,,Y,N,1981,,2022-07-06,B553077,소상공인시장진흥공단
금남시장,상설장,서울특별시 성동구 금호산2길 32,서울특별시 성동구 금호동3가 308,매일,37.548628,127.023044,104,농산물+축산물+의류/신발+음식점업+기타소매업,,,Y,Y,1962,02-2252-5302,2022-07-06,B553077,소상공인시장진흥공단
뚝도시장,상설장,서울특별시 성동구 성수이로 32-15,서울특별시 성동구 성수동2가 335-16,매일,37.537801,127.054827,133,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,1962,02-464-4426,2022-07-06,B553077,소상공인시장진흥공단
마장축산물시장,상설장,서울특별시 성동구 마장로35길 68,서울특별시 성동구 마장동 439-1,매일,37.570682,127.041275,1900,축산물+가공식품,,,Y,Y,2006,02-2281-4446,2022-07-06,B553077,소상공인시장진흥공단
용답상가시장,상설장,서울특별시 성동구 용답중앙길 59,서울특별시 성동구 용답동 57-17,매일,37.564169,127.052539,175,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2011,02-2214-4326,2022-07-06,B553077,소상공인시장진흥공단
길음시장,상설장,서울특별시 성북구 동소문로 227,서울특별시 성북구 길음동 535-8,매일,37.602781,127.021592,138,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2003,02-909-0926,2022-07-06,B553077,소상공인시장진흥공단
돈암시장,상설장,서울특별시 성북구 동소문로18길 12-3,서울특별시 성북구 동소문동5가 59-1,매일,37.591666,127.015712,106,농산물+축산물+가공식품+기타소매업,,,Y,N,2005,02-926-5133,2022-07-06,B553077,소상공인시장진흥공단
돌곶이시장(구 석관황금시장),상설장,서울특별시 성북구 한천로73길 33,서울특별시 성북구 석관동 279-16,매일,37.609502,127.061658,92,농산물+축산물+수산물+가공식품+의류/신발,,,Y,N,2006,070-8952-5598,2022-07-06,B553077,소상공인시장진흥공단
장위전통시장,상설장,서울특별시 성북구 장월로12길 41-1,서울특별시 성북구 장위동 68-225,매일,37.612088,127.050805,64,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2005,070-7799-9129,2022-07-06,B553077,소상공인시장진흥공단
정릉시장,상설장,서울특별시 성북구 보국문로11길 6,서울특별시 성북구 정릉동 400-8,매일,37.608471,127.009681,120,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2010,070-4126-0098,2022-07-06,B553077,소상공인시장진흥공단
정릉아리랑시장,상설장,서울특별시 성북구 정릉로26가길 36,서울특별시 성북구 정릉동 443-1,매일,37.602768,127.011039,54,농산물+축산물+수산물+가공식품+기타소매업,,,N,N,2013,02-911-2931,2022-07-06,B553077,소상공인시장진흥공단
마천시장,상설장,서울특별시 송파구 마천로45길 23,서울특별시 송파구 마천동 140-3,매일,37.49808049,127.150696,69,축산물+의류/신발+근린생활서비스,,,Y,N,1973,02-409-6500,2022-07-06,B553077,소상공인시장진흥공단
마천중앙시장,상설장,서울특별시 송파구 마천로51가길 23,서울특별시 송파구 마천동 146-7,매일,37.498414,127.151336,139,농산물+축산물+수산물+가정용품+음식점업,,,Y,Y,2011,02-448-2808,2022-07-06,B553077,소상공인시장진흥공단
방이시장,상설장,서울특별시 송파구 가락로 243,서울특별시 송파구 방이동 124-20,매일,37.509952,127.117866,136,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2011,02-413-2100,2022-07-06,B553077,소상공인시장진흥공단
새마을시장,상설장,서울특별시 송파구 백제고분로15길 42,서울특별시 송파구 잠실동 207-4,매일,37.509089,127.0849001,107,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2011,02-413-5757,2022-07-06,B553077,소상공인시장진흥공단
석촌시장,상설장,서울특별시 송파구 송파대로37길 52,서울특별시 송파구 석촌동 274-8,매일,37.500173,127.106525,60,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,Y,2011,02-414-8784,2022-07-06,B553077,소상공인시장진흥공단
풍납시장,상설장,서울특별시 송파구 바람드리길 34,서울특별시 송파구 풍납동 142-1,매일,37.537565,127.119493,160,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2011,02-472-2050,2022-07-06,B553077,소상공인시장진흥공단
경창시장,상설장,서울특별시 양천구 오목로9길 31,서울특별시 양천구 신월동 447-8,매일,37.524934,126.842121,50,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2005,02-2606-5988,2022-07-06,B553077,소상공인시장진흥공단
목2동시장,상설장,서울특별시 양천구 목동중앙북로16길 3,서울특별시 양천구 목동 526,매일,37.5460499,126.873887,96,농산물+축산물+가공식품+의류/신발+기타소매업,,,Y,N,2006,,2022-07-06,B553077,소상공인시장진흥공단
목동깨비시장 (목3동시장),상설장,서울특별시 양천구 목동중앙북로6길 5,서울특별시 양천구 목동 617-13,매일,37.548185,126.865229,105,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,2006,02-2644-3238,2022-07-06,B553077,소상공인시장진흥공단
목사랑시장 (목4동시장),상설장,서울특별시 양천구 목동중앙남로7길 8,서울특별시 양천구 목동 726-18,매일,37.537616,126.866218,85,농산물+축산물+수산물+가정용품+음식점업,,,Y,Y,2005,02-2647-9191,2022-07-06,B553077,소상공인시장진흥공단
신월1동신영시장,상설장,서울특별시 양천구 월정로 161-5,서울특별시 양천구 신월동 114-18,매일,37.533014,126.836025,127,농산물+축산물+수산물+의류/신발+가정용품,,,Y,Y,2006,02-2604-3319,2022-07-06,B553077,소상공인시장진흥공단
우성상가시장,상설장,서울특별시 양천구 지양로 78,서울특별시 양천구 신월동 928-1,매일,37.52265956,126.833571,9,농산물+가공식품+의류/신발+가정용품+음식점업,,,Y,Y,1988,02-2693-1241,2022-07-06,B553077,소상공인시장진흥공단
월정로시장,상설장,서울특별시 양천구 월정로29길 3,서울특별시 양천구 신월동 114-1,매일,37.533473,126.835689,123,농산물+축산물+가공식품+기타소매업+근린생활서비스업,,,Y,N,2006,,2022-07-06,B553077,소상공인시장진흥공단
대림중앙시장,상설장,서울특별시 영등포구 디지털로 372,서울특별시 영등포구 대림동 1028-4,매일,37.490384,126.901268,91,농산물+축산물+수산물+가공식품+기타소매업,,,Y,N,2005,02-833-8113,2022-07-06,B553077,소상공인시장진흥공단
대신시장,상설장,서울특별시 영등포구 도신로60길 7,서울특별시 영등포구 신길동 116-17,매일,37.511071,126.917586,202,농산물+축산물+수산물+의류/신발,,,Y,N,1997,02-842-0003,2022-07-06,B553077,소상공인시장진흥공단
동남상가,상설장,서울특별시 영등포구 영등포로37길 4,서울특별시 영등포구 영등포동5가 24,매일,37.520597,126.9056598,73,가공식품+의류/신발+가정용품+음식점업+기타소매업,,,Y,N,2007,02-2635-4846,2022-07-06,B553077,소상공인시장진흥공단
청량리농수산물시장,상설장,서울특별시 동대문구 경동시장로 21,서울특별시 동대문구 제기동 899-18,매일,37.580914,127.0403796,121,농산물+축산물+수산물+근린생활서비스,,,Y,Y,2014,02-963-3214,2022-07-06,B553077,소상공인시장진흥공단
청량리수산시장,상설장,서울특별시 동대문구 고산자로34길 48,서울특별시 동대문구 용두동 20-1,매일,37.578073,127.040951,100,수산물,,,Y,N,2012,02-967-4210,2022-07-06,B553077,소상공인시장진흥공단
청량리전통시장,상설장,서울특별시 동대문구 경동시장로8길 30,서울특별시 동대문구 제기동 632,매일,37.580887,127.042326,103,농산물+축산물+수산물+가공식품,,,N,N,2009,02-3295-4555,2022-07-06,B553077,소상공인시장진흥공단
청량리종합시장,상설장,서울특별시 동대문구 경동시장로 3-1,서울특별시 동대문구 제기동 998,매일,37.579338,127.040858,135,농산물+수산물+가공식품+기타소매업,,,Y,Y,2005,02-962-7100,2022-07-06,B553077,소상공인시장진흥공단
청량리청과물시장,상설장,서울특별시 동대문구 경동시장로 7,서울특별시 동대문구 제기동 995,매일,37.5795900042,127.040684,150,농산물,,,Y,Y,2005,070-7722-1650,2022-07-06,B553077,소상공인시장진흥공단
청량종합도매시장(깡통시장),상설장,서울특별시 동대문구 경동시장로9가길 16,서울특별시 동대문구 제기동 846-38,매일,37.581909,127.040311,56,가공식품,,,Y,Y,2012,02-962-5670,2022-07-06,B553077,소상공인시장진흥공단
회기시장,상설장,서울특별시 동대문구 회기로25길 11,서울특별시 동대문구 회기동 57-22,매일,37.59097015,127.054979,64,농산물+음식점업+기타소매업,,,Y,Y,2012,,2022-07-06,B553077,소상공인시장진흥공단
강남시장,상설장,서울특별시 동작구 상도로 357,서울특별시 동작구 상도동 488,매일,37.49693976,126.953541,30,가공식품+기타소매업,,,Y,Y,1984,02-813-6231,2022-07-06,B553077,소상공인시장진흥공단
남성시장,상설장,서울특별시 동작구 동작대로29길 8,서울특별시 동작구 사당동 88-3,매일,37.48816011,126.981565,153,농산물+축산물+수산물+가공식품+기타소매업,,www.nssagye.com,Y,Y,2014,02-536-3002,2022-07-06,B553077,소상공인시장진흥공단
남성역골목시장,상설장,서울특별시 동작구 사당로16가길 19,서울특별시 동작구 사당동 267-4,매일,37.482988,126.972325,78,농산물+축산물+수산물+가공식품+기타소매업,,,N,Y,2015,070-4015-8396,2022-07-06,B553077,소상공인시장진흥공단
본동인정시장,상설장,서울특별시 동작구 매봉로 177,서울특별시 동작구 본동 187-1,매일,37.51223042,126.951897,30,농산물+축산물+가공식품+가정용품,,,N,N,2006,,2022-07-06,B553077,소상공인시장진흥공단
사당시장,상설장,서울특별시 동작구 사당로 244,서울특별시 동작구 사당동 318-8,매일,37.482883,126.975338,18,음식점업+근린생활서비스업,,,Y,Y,1987,,2022-07-06,B553077,소상공인시장진흥공단
상도전통시장,상설장,서울특별시 동작구 상도로47길 8,서울특별시 동작구 상도동 464-33,매일,37.499677,126.951537,73,축산물+수산물+음식점업+기타소매업,,,Y,Y,2015,02-824-3747,2022-07-06,B553077,소상공인시장진흥공단
성대시장,상설장,서울특별시 동작구 상도로 102,서울특별시 동작구 상도동 324-1,매일,37.499943,126.931776,43,농산물+축산물+수산물+가공식품+의류/신발,,,Y,Y,1979,,2022-07-06,B553077,소상공인시장진흥공단
성대전통시장,상설장,서울특별시 동작구 국사봉1길 41,서울특별시 동작구 상도동 324-68,매일,37.499218,126.930857,104,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2015,02-822-4456,2022-07-06,B553077,소상공인시장진흥공단
공덕시장,상설장,서울특별시 마포구 만리재로 19,서울특별시 마포구 공덕동 256-11,매일,37.544795,126.953258,170,농산물+축산물+기타소매업,,,Y,N,1974,02-719-5060,2022-07-06,B553077,소상공인시장진흥공단
동진시장,상설장,서울특별시 마포구 성미산로 198,서울특별시 마포구 연남동 227-15,매일,37.562377,126.926763,19,기타소매업+근린생활서비스업,,,Y,N,1974,,2022-07-06,B553077,소상공인시장진흥공단
마포농수산물시장,상설장,서울특별시 마포구 월드컵로 235,서울특별시 마포구 성산동 538-4,매일,37.565199,126.898483,121,농산물+축산물+수산물+가공식품,,,Y,Y,1998,02-309-0419,2022-07-06,B553077,소상공인시장진흥공단
마포시장,상설장,서울특별시 마포구 마포대로6길 16,서울특별시 마포구 공덕동 256-5,매일,37.545392,126.953319,90,농산물+가공식품+기타소매업,,,Y,N,1977,02-719-5060,2022-07-06,B553077,소상공인시장진흥공단
