연번,가맹점명,업종명,전화번호,읍면동,소재지 도로명주소,위도,경도
1515,네일블라썸,미용/뷰티/위생,,어진동,[30100] 세종특별자치시 아름서1길 13-12 4층401호 네일블라썸,36.51165506,127.2431921
1516,네일빈스,미용/뷰티/위생,,부강면,[30075] 세종특별자치시 부강면 부촌길 28-3 네일빈스,36.52887972,127.3676681
1517,네일빛나,미용/뷰티/위생,,고운동,[30063] 세종특별자치시 마음로 67 상가동 2층 203호,36.50482058,127.2327873
1518,네일새롬,미용/뷰티/위생,,새롬동,[30127] 세종특별자치시 새롬로 26 B105호 네일새롬,36.4874398,127.2561952
1519,네일앤유어,미용/뷰티/위생,,한솔동,[30130] 세종특별자치시 나리1로 16 상가동1층 106호,36.47925303,127.2614179
1520,네일에끌린,미용/뷰티/위생,,해밀동,[30092] 세종특별자치시 해밀3로 32 해밀1단지 상가210호 네일에끌린,36.52928854,127.2672414
1521,네일에드,미용/뷰티/위생,,새롬동,[30126] 세종특별자치시 새롬중앙로 63 114호,36.48653753,127.2502552
1522,네일에물들다,미용/뷰티/위생,,나성동,[30123] 세종특별자치시 한누리대로 321 204호,36.4930068,127.2557849
1523,네일에반하다,미용/뷰티/위생,044-862-0258,도담동,"[30098] 세종특별자치시 보듬4로 9 카림애비뉴상가 1층 28,29호",36.51311651,127.2607061
1524,네일에이치,미용/뷰티/위생,,조치원읍,[30020] 세종특별자치시 조치원읍 문화5길 5 센트리아1층,36.60051827,127.2892815
1525,네일오롯이,미용/뷰티/위생,,종촌동,[30064] 세종특별자치시 도움1로 108 326호 3층 네일오롯이,36.50267993,127.2476328
1526,네일우아,미용/뷰티/위생,,집현동,[30141] 세종특별자치시 집현서로 60 103호,36.49263738,127.3224898
1527,네일은 서안,미용/뷰티/위생,,소담동,[30151] 세종특별자치시 한누리대로 2022 아이콤스타타워 115호 네일은 서안,36.48441891,127.2991579
1528,네일은나에게,미용/뷰티/위생,,다정동,[30124] 세종특별자치시 다정중앙로 53 페스티발 1 303호,36.49529564,127.2485413
1529,네일의희망,미용/뷰티/위생,044-998-9145,반곡동,[30145] 세종특별자치시 한누리대로 1839 상가 A동 107호,36.49717046,127.3098706
1530,네일이문득,미용/뷰티/위생,,고운동,[30063] 세종특별자치시 고운서길 7 106호 네일이문득,36.50531079,127.2347473
1531,넥센타이어연기대리점총판,자동차/자전거,044-868-6735,조치원읍,[30021] 세종특별자치시 조치원읍 행복2길 3,36.60371395,127.2901911
1532,넥타르(NECTAR),카페/베이커리,,도담동,[30098] 세종특별자치시 보듬4로 9 카림애비뉴상가 1동 1층 83호,36.51311651,127.2607061
1533,넥타이맨,일반음식점,044-863-7890,나성동,"[30128] 세종특별자치시 나성북로 30 2층230,231호",36.48906909,127.2602422
1534,노군꼬치나성점,일반음식점,,나성동,[30128] 세종특별자치시 나성로 133-9 ns타워1 104호,36.49056138,127.2581856
1535,노군꼬치 세종다정점,일반음식점,,다정동,"[30123] 세종특별자치시 다정중앙로 52 1층, 113호(다정동, 페스티발2)",36.49518298,127.2492567
1536,노랑비어,일반음식점,,고운동,[30063] 세종특별자치시 마음로 67 상가 근생1동1층116호,36.50482058,127.2327873
1537,노랑통닭 나성점,일반음식점,044-272-8258,나성동,[30127] 세종특별자치시 한누리대로 287 111호 노랑통닭 나성점,36.48979178,127.2561616
1538,노랑통닭 도담점,일반음식점,044-866-8258,도담동,[30098] 세종특별자치시 보듬4로 9 세종 보듬4로 9 1동 1층 1F-49호 노랑통닭,36.51311651,127.2607061
1539,노랑통닭 세종보람점,일반음식점,044-862-9975,보람동,[30151] 세종특별자치시 시청대로 213 2층 210호,36.48362889,127.2935514
1540,노랑통닭 세종해밀점,일반음식점,044-863-9592,해밀동,[30092] 세종특별자치시 해밀3로 32 상가 134호,36.52928854,127.2672414
1541,노랑통닭 세종나성점,일반음식점,044-272-8258,나성동,[30127] 세종특별자치시 한누리대로 287 포레뷰1 1층 111호,36.48979178,127.2561616
1542,노랑통닭세종대평점,일반음식점,044-864-8258,대평동,[30152] 세종특별자치시 대평3길 10 1층112호,36.47377102,127.2757308
1543,노랑통닭세종반곡점,일반음식점,044-866-8581,조치원읍,[30146] 세종특별자치시 시청대로 500 418동 근린생활시설 1층 9호,36.4994599,127.3146279
1544,노랑통닭세종아름점,일반음식점,044-865-8256,아름동,[30100] 세종특별자치시 보듬3로 104-7 1층 101호,36.51231898,127.2484329
1545,노랑통닭조치원점,일반음식점,044-868-9234,조치원읍,[30021] 세종특별자치시 조치원읍 행복3길 16 1층노랑통닭,36.60399272,127.2916081
1546,노르디스크세종점,의류/잡화/안경,044-868-4357,나성동,"[30128] 세종특별자치시 국세청로 32 D동106,107호",36.48642112,127.2619638
1547,노릇노릇,일반음식점,044-865-8486,금남면,[30088] 세종특별자치시 금남면 바람재로 58-23 1-2층,36.43860199,127.2963458
1548,노리아오감미술교습소,학원/교육,,새롬동,[30126] 세종특별자치시 새롬중앙1로 13 상가3동 105호,36.48371435,127.2498805
1549,노모어피자 세종다정점,일반음식점,044-414-9223,다정동,[30123] 세종특별자치시 다정중앙로 40 1층 103호,36.4940392,127.2493794
1550,노브랜드버거 세종새롬점,일반음식점,044-868-9187,새롬동,[30127] 세종특별자치시 새롬중앙로 62-15 1층 107호,36.48702109,127.2511992
1551,노브랜드버거세종아름점,일반음식점,044-863-7904,아름동,"[30100] 세종특별자치시 보듬3로 101 1층 105, 106호",36.51139959,127.2484082
1552,노블골프#,스포츠/헬스,,어진동,"[30121] 세종특별자치시 갈매로 353 A동 1층 1013, 1014호",36.49558161,127.2626249
1553,노블골프피팅 세종점,기타,,어진동,[30121] 세종특별자치시 갈매로 351 에비뉴힐 1159,36.49496607,127.2621842
1554,노블클라쎄 산부인과,병원/약국,044-866-3575,보람동,[30150] 세종특별자치시 한누리대로 2165 A동 302-306호,36.47730528,127.2864667
1555,노블클라쎄 산후조리원,산모/육아,044-867-3579,보람동,[30150] 세종특별자치시 한누리대로 2165 A동 307-314호,36.47730528,127.2864667
1556,노빌레아티스타미술교습소,학원/교육,,소담동,[30151] 세종특별자치시 소담3로 8 2동 56호,36.48594093,127.300517
1557,노엘라,카페/베이커리,044-862-0399,조치원읍,"[00000] 세종특별자치시 조치원읍 조치원7길 12, B동 (원리)",,
1558,노적산가든,일반음식점,044-275-2777,부강면,[30073] 세종특별자치시 부강면 부강외천로 144 1층,36.52776137,127.3830313
1559,후라이드참잘하는집세종1호점,일반음식점,,,"[00000] 세종특별자치시 달빛로  45, 101호 (종촌동,The Riverside)",,
1560,노크,일반음식점,044-868-0342,조치원읍,[30016] 세종특별자치시 조치원읍 토골고개길 13 2층,36.62291798,127.2900825
1561,노키드24,부동산/인테리어,,나성동,"[00000] 세종특별자치시 한누리대로 321, 지하 B105호 (나성동,SR파크시티)",,
1562,노포닭발,일반음식점,044-862-5850,조치원읍,[30016] 세종특별자치시 조치원읍 섭골길 59 1동 1층 103호(e-편한세상 세종),36.61520473,127.2872353
1563,노포닭발 종촌점,일반음식점,,종촌동,[30064] 세종특별자치시 도움1로 106 1층130호,36.50281819,127.2481227
1564,녹두삼계탕,일반음식점,044-866-9884,소정면,[30001] 세종특별자치시 소정면 세종로 4726 2동 녹두삼계탕,36.73079473,127.1679979
1565,논술플러스 학원,학원/교육,044-865-7909,새롬동,[30127] 세종특별자치시 새롬중앙로 62-15 해피라움w 4층 413호,36.48702109,127.2511992
1566,놀뛰날세종,스포츠/헬스,,어진동,[30121] 세종특별자치시 한누리대로 350 2층 207호,36.49542208,127.2572352
1567,놀라즈(NOLAZ),일반음식점,,한솔동,[30130] 세종특별자치시 나리1로 16 105-1호NOLAZ,36.47925303,127.2614179
1568,놀숲세종시청점,미용/뷰티/위생,044-867-1102,보람동,[30150] 세종특별자치시 호려울로 45,36.47822765,127.2900182
1569,놀작다정한앳홈,학원/교육,,다정동,[30124] 세종특별자치시 다정남로 22 106-101,36.49037735,127.2460551
1570,놀작마이아트 세종소담키즈센터,학원/교육,,소담동,[30151] 세종특별자치시 한누리대로 2018 6층 607호,36.48474477,127.2994005
1571,농가순대국,일반음식점,,금남면,[30083] 세종특별자치시 금남면 대평시장1길 9 1층,36.46636345,127.2817913
1572,농가순대국 대패삼겹살,일반음식점,044-862-3678,조치원읍,[30026] 세종특별자치시 조치원읍 장안로 43 1층,36.59779936,127.3019695
1573,농부마트,슈퍼/마트,,해밀동,"[00000] 세종특별자치시 해밀동  118,상가동 122~128호(해밀동,해밀마을2단지)",,
1574,농부의한우,슈퍼/마트,044-866-1181,금남면,[30083] 세종특별자치시 금남면 세종로 470 농부의한우,36.46082145,127.2788857
1575,농부의한우,슈퍼/마트,044-866-1181,금남면,[30083] 세종특별자치시 금남면 세종로 470 농부의한우,36.46082145,127.2788857
1576,농업회사법인 고기냠냠(주),기타,044-866-4070,전의면,[30005] 세종특별자치시 전의면 운주산로 1500 1층,36.68539378,127.1719774
1577,농업회사법인 미미농원 주식회사,기타,,연서면,[30042] 세종특별자치시 연서면 서고길 7-22,36.60341403,127.2557337
1578,농업회사법인 솔티마을,의류/잡화/안경,044-862-8168,전동면,[30009] 세종특별자치시 전동면 솔티로 375-9 솔티마을,36.63164099,127.2178817
1579,농업회사법인 주식회사 공사사양조,기타,044-905-0440,조치원읍,"[30027] 세종특별자치시 조치원읍 새내4길 3 101호, 공사사양조장",36.5974049,127.299246
1580,농업회사법인 주식회사 그리닝 (greening Corp.),기타,,금남면,"[30082] 세종특별자치시 금남면 황용1길 28-22, 나무나무스토어",36.48252312,127.3284368
1581,농업회사법인 주식회사 딸기나무 세종새롬점,슈퍼/마트,044-715-5858,새롬동,[30126] 세종특별자치시 새롬북로 14 1층 107호 근린생활시설,36.4860326,127.2459186
1582,농업회사법인 주식회사 백경증류소,기타,044-866-0151,장군면,[30052] 세종특별자치시 장군면 평기길 151 백경증류소,36.50893737,127.1981947
1583,농업회사법인 주식회사 사일로,기타,,조치원읍,"[30034] 세종특별자치시 조치원읍 충현1길 60 제 1동, 2동",36.59153634,127.3004947
1584,농업회사법인 주식회사 세종라이스,슈퍼/마트,044-867-7100,연서면,[30043] 세종특별자치시 연서면 연서로 31 주식회사 세종라이스,36.58651286,127.2624219
1585,농업회사법인 주식회사 앤에프씨,기타,,연기면,[30058] 세종특별자치시 연기면 당산로 141,36.54600121,127.2782867
1586,농업회사법인 (주)베어트리파크,일반음식점,,전동면,"[00000] 세종특별자치시 전동면 신송로  217,2층(송성리)",,
1587,농업회사법인다온숲주식회사,스포츠/헬스,044-868-7323,전동면,[30012] 세종특별자치시 전동면 깊은내길 213 다온숲,36.64298258,127.2537771
1588,농업회사법인더비랑주식회사,일반음식점,044-867-1292,전동면,[30011] 세종특별자치시 전동면 원직이길 88-14 더비랑,36.6667182,127.2798706
1589,농업회사법인 세종로컬푸드 주식회사 아름점,슈퍼/마트,044-864-4905,도담동,[30100] 세종특별자치시 보듬3로 105 싱싱장터 아름점,36.51139615,127.2478612
1590,농업회사법인 세종식물원 주식회사,의류/잡화/안경,044-868-9290,전의면,[30004] 세종특별자치시 전의면 김처선로 90 세종식물원,36.68395561,127.2138176
1591,농업회사법인유한회사원성,슈퍼/마트,044-275-2504,부강면,[30078] 세종특별자치시 부강면 등곡길 9,36.51229222,127.3822272
1592,농업회사법인㈜기우리다,기타,,보람동,[30151] 세종특별자치시 시청대로 209 407호,36.48327565,127.2932533
1593,농업회사법인 주식회사 솔원,의류/잡화/안경,044-866-3774,전의면,[30005] 세종특별자치시 전의면 세종로 3899,36.67881127,127.1858207
1594,농업회사법인 주식회사 올피드,일반음식점,044-868-1708,나성동,[30045] 세종특별자치시 연서면 효교로 263-10 ,36.56956235,127.224205
1595,농업회사법인주식회사한씨떡집,일반음식점,044-275-4272,부강면,[30075] 세종특별자치시 부강면 오대길 9 한씨떡집,36.5288279,127.3698014
1596,농업회사법인진영농산주식회사,일반음식점,044-868-1581,장군면,[30051] 세종특별자치시 장군면 의당방축골길 213-10 213-10,36.50306123,127.2076209
1597,농업회사법인 카카오파이브 주식회사,일반음식점,044-866-5508,조치원읍,[30020] 세종특별자치시 조치원읍 문화4길 7 A동 101호 (해솔마을),36.60010074,127.2887823
1598,뇨끼온떨스데이,일반음식점,044-863-0032,보람동,"[00000] 세종특별자치시 한누리대로 2165, 752동 1층 A-117호 (보람동,호려울마을7단지 근린생활시설)",,
1599,누가연합의원,병원/약국,044-863-0494,전의면,[30004] 세종특별자치시 전의면 읍내길 7 누가연합의원,36.68002709,127.2044032
1600,누가의료기,병원/약국,044-868-7579,조치원읍,[30025] 세종특별자치시 조치원읍 조치원로 47-1 누가의료기2층,36.60201659,127.3018981
1601,누가치과의원,병원/약국,044-862-7597,조치원읍,[30027] 세종특별자치시 조치원읍 새내로 88-1 4층,36.59971747,127.2986439
1602,누누네일,미용/뷰티/위생,,나성동,[30128] 세종특별자치시 나성북1로 23 2층 249호,36.49283684,127.2574384
1603,누룽지꼬꼬닭 & 우리숯불닭갈비,일반음식점,044-866-3123,대평동,[30152] 세종특별자치시 대평3길 10 1층 111호,36.47377102,127.2757308
1604,누를황떡볶이 세종아름점,일반음식점,,아름동,[30100] 세종특별자치시 보듬3로 104-11 행복프라자1동1호,36.51231257,127.248846
1605,누리꽃방,의류/잡화/안경,044-867-6260,조치원읍,[30024] 세종특별자치시 조치원읍 새내16길 55 누리꽃방,36.60447831,127.3006017
1606,누리마루 치과의원,병원/약국,044-865-2275,어진동,[30107] 세종특별자치시 도움8로 81 A-301,36.50441745,127.2706011
1607,누리베이크샵,일반음식점,070-8667-6027,새롬동,[30126] 세종특별자치시 새롬중앙로 47 120호,36.48500876,127.2507832
1608,누리봄 발달센터,기타,044-715-7397,대평동,[30152] 세종특별자치시 대평3길 10 603-604호,36.47377102,127.2757308
1609,누리실내테니스장,스포츠/헬스,,보람동,[30150] 세종특별자치시 호려울로 29 404-406호,36.4779135,127.290233
1610,누미뷰티,미용/뷰티/위생,,보람동,[30151] 세종특별자치시 시청대로 167 드림빌딩1층 105호<뒷편>,36.48130914,127.2899008
1611,누보아(nouvoa),의류/잡화/안경,,나성동,"[30123] 세종특별자치시 한누리대로 331 1층 113, 114-2호",36.49393535,127.2558318
1612,누이동생,일반음식점,044-866-5579,금남면,"[30083] 세종특별자치시 금남면 용포느티나무길 21 금남면용포느티나무길21,1층",36.46513799,127.2818249
1613,누프람,기타,044-867-8050,나성동,[30128] 세종특별자치시 나성북로 30 퍼스트원182,36.48906909,127.2602422
1614,눈꽃샤브,일반음식점,044-417-1512,소담동,[30150] 세종특별자치시 한누리대로 2003 107호 눈꽃샤브,36.48544874,127.3011129
1615,눈썹달,의류/잡화/안경,044-867-0609,새롬동,[30126] 세종특별자치시 새롬중앙로 63 1층 112호,36.48653753,127.2502552
1616,눈썹을디자인하다,슈퍼/마트,,다정동,[30123] 세종특별자치시 다정중앙로 58 404호,36.49562441,127.2492301
1617,눈앞에과일 세종점,일반음식점,,나성동,[30128] 세종특별자치시 나성북1로 23 5단지상가 801돝 213호,36.49283684,127.2574384
1618,뉴니스홈,슈퍼/마트,,소담동,[30150] 세종특별자치시 한누리대로 2003 1동105호,36.48544874,127.3011129
1619,뉴드림마트,슈퍼/마트,044-866-0424,소담동,"[30147] 세종특별자치시 한누리대로 1974 401호,402호,403호",36.48820065,127.3016575
1620,뉴베이스,가전/통신,,보람동,[30150] 세종특별자치시 보람동로 14 802-1105,36.47804739,127.2961129
1621,뉴브루932,일반음식점,044-866-1526,어진동,"[30107] 세종특별자치시 도움8로 81 , B동 1층 110호(어진동, 세종일번가)",36.50441745,127.2706011
1622,뉴 비전수학,기타,,,,,
1623,뉴빔스,일반음식점,044-960-5010,어진동,[30116] 세종특별자치시 한누리대로 411 203호,36.50112784,127.2588552
1624,뉴스터디세종학원,학원/교육,044-863-8606,아름동,[30100] 세종특별자치시 보듬3로 92 해피라움2차 706호,36.51191097,127.2494751
1625,뉴아트헤어,미용/뷰티/위생,044-867-0323,고운동,[30063] 세종특별자치시 마음로 78 스마트큐브2 209호 뉴아트헤어,36.50553859,127.2337292
1626,뉴올드커피,카페/베이커리,044-867-1477,보람동,[30151] 세종특별자치시 한누리대로 2150 116호,36.47850904,127.2873261
1627,뉴욕버거 세종어진점,일반음식점,044-868-8999,어진동,[30115] 세종특별자치시 다솜1로 21 301동 156호,36.50037183,127.2561164
1628,뉴욕영어전문학원,학원/교육,070-8657-1897,새롬동,[30127] 세종특별자치시 새롬중앙로 62-15 513호 뉴욕영어수학학원,36.48702109,127.2511992
1629,뉴웨이브수학교습소,학원/교육,,반곡동,[30146] 세종특별자치시 한누리대로 1820 506-2호,36.49813309,127.3127085
1630,뉴잉글랜드 음악학원,학원/교육,044-866-0486,아름동,[30100] 세종특별자치시 보듬3로 91 해피라움 4 2층 214호,36.51135281,127.2495698
1631,뉴클래스 에듀,학원/교육,,고운동,[30063] 세종특별자치시 마음로 152 1103동 401호,36.51065368,127.2303296
1632,뉴타운란제리,의류/잡화/안경,044-865-6300,조치원읍,[30027] 세종특별자치시 조치원읍 새내10길 20 정리31-32,36.60017238,127.2993775
1633,뉴타운목욕탕,숙박/캠핑,,조치원읍,[30027] 세종특별자치시 조치원읍 새내10길 20 지하1층,36.60017238,127.2993775
1634,"뉴 타지마할 인도 음식점, HALAL",일반음식점,044-866-7862,보람동,"[30151] 세종특별자치시 시청대로 219 3층, 301호",36.4839368,127.2938053
1635,뉴턴수학과학영재학원,학원/교육,044-999-2907,종촌동,[30064] 세종특별자치시 달빛로 80 상가1동 1205호 (종촌동),36.50486802,127.2530817
1636,뉴플러스,부동산/인테리어,044-999-0038,새롬동,[30126] 세종특별자치시 새롬남로 18 110-801호,36.48075039,127.2486145
1637,뉴-헤어도로시,미용/뷰티/위생,044-864-9306,나성동,"[30130] 세종특별자치시 한누리대로 211 1층 113호(나성동 ,세종퍼스트타워)",36.48351277,127.2594691
1638,느낌표(미술공방),미용/뷰티/위생,,종촌동,[30064] 세종특별자치시 도움1로 108 314호,36.50267993,127.2476328
1639,느루에스테틱,미용/뷰티/위생,,다정동,[30123] 세종특별자치시 다정중앙로 52 302호,36.49518298,127.2492567
1640,느루정,슈퍼/마트,,산울동,[30091] 세종특별자치시 산울2로 40 상가내 101호,36.52991851,127.2597872
1641,느린하루,일반음식점,,조치원읍,[30024] 세종특별자치시 조치원읍 새내12길 16 느린하루,36.60214336,127.2989238
1642,느린학습자 놀위터 사회적협동조합,학원/교육,,집현동,[30140] 세종특별자치시 집현북로 52 1205동 1층 사회적기업4호,36.50075029,127.3260137
1643,느티나무목장 치즈,기타,,조치원읍,"[00000] 세종특별자치시 조치원읍 비로봉길  23, 1동 1층 1호 (번암리)",,
1644,느티나무집,일반음식점,044-862-5902,연동면,[30066] 세종특별자치시 연동면 노송웅골길 24-10 느티나무집,36.56834332,127.3311149
1645,늑대와여우컴퓨터,가전/통신,,도담동,[30062] 세종특별자치시 마음로 272-4 102호 컴퓨터,36.51958087,127.2353439
1646,늘그림미술교습소,학원/교육,,도담동,[30098] 세종특별자치시 보듬4로 9 1층 89호,36.51311651,127.2607061
1647,늘루에스부엌,일반음식점,044-865-3182,조치원읍,[30029] 세종특별자치시 조치원읍 대동학교길 26 1층,36.59632779,127.2953886
1648,늘봄헤어,미용/뷰티/위생,,보람동,[30151] 세종특별자치시 한누리대로 2200 B동102호 늘봄헤어,36.47597947,127.2817808
1649,늘봄약국,병원/약국,044-863-1629,소담동,[30151] 세종특별자치시 한누리대로 2012 코끼리타워 116호 늘봄약국,36.48530618,127.2998531
1650,늘봄헤어,미용/뷰티/위생,,보람동,[30151] 세종특별자치시 한누리대로 2200 B동102호 늘봄헤어,36.47597947,127.2817808
1651,늘솜가마솥설렁탕,일반음식점,044-687-1668,부강면,[30073] 세종특별자치시 부강면 부강외천로 234 늘솜가마솥설렁탕,36.52851512,127.3929526
1652,늘솜네일,미용/뷰티/위생,,나성동,[30127] 세종특별자치시 한누리대로 227 1층 109호 늘솜네일,36.4848495,127.2584855
1653,늘알칠수학,학원/교육,070-4175-2757,종촌동,[30064] 세종특별자치시 도움3로 160 419동 1702호,36.50798005,127.2420779
1654,늘조은약국,병원/약국,044-903-0299,대평동,[30153] 세종특별자치시 갈매로 58 119호 늘조은약국,36.47103844,127.2754214
1655,늘푸른마트,슈퍼/마트,044-868-1513,조치원읍,[30022] 세종특별자치시 조치원읍 충현로 149 늘푸른마트,36.60175776,127.2946576
1656,늘푸른약국,병원/약국,044-866-7289,고운동,"[30063] 세종특별자치시 고운서길 19 스마트큐브1, 110호",36.50585564,127.2339828
1657,늘품수학교습소,학원/교육,,나성동,[30128] 세종특별자치시 국세청로 45 상가동 B-152호,36.48984021,127.262523
1658,늘품아동청소년발달센터,미용/뷰티/위생,044-862-2034,아름동,"[30100] 세종특별자치시 보듬3로 143 504호, 505호",36.51162177,127.2436278
1659,늘품정육점,슈퍼/마트,044-863-4820,해밀동,[30092] 세종특별자치시 해밀3로 43 스카이 드림 103호 늘품정육점,36.52858671,127.2644899
1660,늘픔,의류/잡화/안경,,고운동,"[00000] 세종특별자치시 마음로 151, 902동 9층 706호 (고운동,가락마을9단지)",,
1661,늘피부관리,미용/뷰티/위생,042-631-1014,보람동,"[00000] 세종특별자치시 한누리대로 2149, 2층 211호 (보람동,엔젤타워)",,
1662,능두네 세종 고운점,일반음식점,044-867-8834,고운동,[30063] 세종특별자치시 만남로 14 1층 능두네,36.50094193,127.2364757
1663,능소네삼대손두부,일반음식점,044-862-9449,소정면,[30000] 세종특별자치시 소정면 운당길 8-16 1층,36.69808949,127.1511828
1664,능소비빔국수,일반음식점,044-868-5353,소정면,[30000] 세종특별자치시 소정면 세종로 4272 3동,36.69728721,127.1536872
1665,능소비빔국수,일반음식점,044-868-5353,소정면,[30000] 세종특별자치시 소정면 세종로 4272 3동,36.69728721,127.1536872
1666,능소비빔국수 조치원점,일반음식점,044-868-8834,조치원읍,[30016] 세종특별자치시 조치원읍 섭골길 23 1층 능소비빔국수 조치원점,36.61366531,127.2905361
1667,니노영어발전소어학원,학원/교육,044-868-9465,종촌동,[30064] 세종특별자치시 달빛로 59 2층 204,36.5042434,127.2497611
1668,니들앤크로쉐,도서/문화/공연,,보람동,[30150] 세종특별자치시 한누리대로 2129 스타힐타워2 B동 302호,36.47857758,127.2897583
1669,니시키,일반음식점,044-862-2888,반곡동,[30147] 세종특별자치시 한누리대로 1940 1층 니시키,36.49113879,127.3032272
1670,니엘헤어살롱,미용/뷰티/위생,044-868-1580,조치원읍,[30039] 세종특별자치시 조치원읍 도원로 16 자이아파트상가 302동 105호,36.59109224,127.2908988
1671,니즈네일,미용/뷰티/위생,044-865-0340,새롬동,[30126] 세종특별자치시 새롬중앙로 59 새롬빌딩 110호,36.48606927,127.2503155
1672,니치039매트(광역대리점),기타,,종촌동,[30064] 세종특별자치시 도움1로 145 106동1502호,36.50036928,127.2413706
1673,닉스호프,일반음식점,044-866-5592,조치원읍,[30021] 세종특별자치시 조치원읍 행복12길 1 1층,36.60369309,127.292751
1674,"다가온, 닭",일반음식점,044-999-1151,한솔동,[30130] 세종특별자치시 노을3로 92 109호,36.47994282,127.2549387
1675,다경살롱,미용/뷰티/위생,044-868-0742,보람동,[30150] 세종특별자치시 호려울로 45 201호 다경살롱,36.47822765,127.2900182
1676,다나기획,도서/문화/공연,044-866-4415,조치원읍,[30047] 세종특별자치시 연서면 봉암길 18 다나기획,36.56120464,127.2827706
1677,다나약국,병원/약국,044-866-2700,조치원읍,[30028] 세종특별자치시 조치원읍 새내로 101,36.60092108,127.2979624
1678,다낭댁 쌀국수,일반음식점,044-905-9045,나성동,[30128] 세종특별자치시 어울누리로 67 2단지 상업시설 비동 151호,36.48728025,127.2653708
1679,다니엘 컴퓨터공방,가전/통신,,반곡동,[30146] 세종특별자치시 반곡로 15 304동 701호,36.5000076,127.3080148
1680,다다네우당탕빵,카페/베이커리,,소담동,[30150] 세종특별자치시 소담1로 16 1층 112호,36.48456545,127.3010985
1681,다다의 숲 미술교습소,학원/교육,,다정동,[30123] 세종특별자치시 다정중앙로 20 근린생활시설2 204호,36.49255599,127.2499852
1682,다다카츠,일반음식점,070-8666-3787,고운동,[30063] 세종특별자치시 마음로 67 상가1동 204호,36.50482058,127.2327873
1683,다담,일반음식점,,장군면,[30055] 세종특별자치시 장군면 장척로 573 1층 다담,36.49922379,127.2216019
1684,다담 스시다이닝,일반음식점,,나성동,[30128] 세종특별자치시 나성북로 30 271호 다담,36.48906909,127.2602422
1685,다락,카페/베이커리,044-864-0406,조치원읍,[30020] 세종특별자치시 조치원읍 문화1길 25 카페 다락,36.60171547,127.289047
1686,다래식당,일반음식점,044-862-3998,조치원읍,[30027] 세종특별자치시 조치원읍 새내10길 19 다래식당,36.60064921,127.2992391
1687,다모미가,일반음식점,041-864-4333,금남면,[00000] 세종특별자치시 금남면 용포로 89 (용포리),,
1688,다모아할인마트,슈퍼/마트,044-862-5949,전의면,[30004] 세종특별자치시 전의면 운주산로 1173 다모아할인마트,36.679312,127.206637
1689,다미참치,일반음식점,044-868-0322,반곡동,[30147] 세종특별자치시 국책연구원2로 18 알파타워212호,36.49070579,127.3016127
1690,다반,일반음식점,044-867-1274,어진동,[30121] 세종특별자치시 가름로 232 B동 1층 129호,36.49562274,127.2649127
1691,다방,카페/베이커리,,조치원읍,[30043] 세종특별자치시 연서면 대첩로 274 성제리346-1,36.59134827,127.2676174
1692,다복이네 카페,일반음식점,,부강면,[30075] 세종특별자치시 부강면 부강1길 27 다복이네카페,36.53125878,127.3676376
1693,다복정 왕갈비탕,일반음식점,044-867-4009,부강면,[30077] 세종특별자치시 부강면 부강금호로 312 1층,36.503716,127.3572338
1694,다복정육점,슈퍼/마트,044-865-0444,조치원읍,[30027] 세종특별자치시 조치원읍 조치원6길 13-6 1층,36.60084206,127.2998521
1695,다복중고알뜰매장,가전/통신,044-863-3189,조치원읍,[30027] 세종특별자치시 조치원읍 새내2길 17 1층 다복중고알뜰매장,36.59683131,127.2997876
1696,다봄국어교습소,학원/교육,,다정동,[30123] 세종특별자치시 다정중앙로 20 근린생활시설 2동 지하1층 244호,36.49255599,127.2499852
1697,다분,카페/베이커리,044-862-3363,조치원읍,[30021] 세종특별자치시 조치원읍 행복4길 1 세종빌 1층,36.60440651,127.2899612
1698,다붓 사회적협동조합,의류/잡화/안경,044-902-2800,금남면,[30079] 세종특별자치시 금남면 금남구즉로 196,36.47762593,127.2995426
1699,다비다커피,카페/베이커리,044-866-0225,조치원읍,[30079] 세종특별자치시 금남면 장재길 50 1층,36.47878151,127.3060717
1700,다비치안경 세종시청앞점,기타,044-868-4130,보람동,"[30150] 세종특별자치시 한누리대로 2149 110,111,205,206호 다비치안경",36.47780911,127.2878347
1701,다비치안경 세종아름점,의류/잡화/안경,,아름동,[30100] 세종특별자치시 보듬3로 160 1층 다비치안경 세종아름점,36.51230463,127.2418795
1702,다비치안경 세종청사점,의류/잡화/안경,044-862-2389,나성동,[30127] 세종특별자치시 한누리대로 253 1층 다비치안경,36.48679735,127.2572281
1703,다비치안경 조치원점,의류/잡화/안경,044-868-0505,조치원읍,[30028] 세종특별자치시 조치원읍 새내로 87 다비치안경 조치원점,36.59966031,127.2981191
1704,다비치히어링 조치원점,병원/약국,044-868-0505,조치원읍,[30028] 세종특별자치시 조치원읍 새내로 87 다비치히어링 조치원점,36.59966031,127.2981191
1705,주식회사 다빈기획,미용/뷰티/위생,044-589-3636,,[30141] 세종특별자치시 집현중앙7로 6 A동 801호,36.49861223,127.3304414
1706,다빈치 미술 학원,학원/교육,044-862-1591,고운동,[30063] 세종특별자치시 마음로 74 402호 다빈치미술,36.50527947,127.2340778
